,doc,sentence,statement,ARG0_highdim,ARG0_lowdim,B-V_highdim,B-V_lowdim,B-ARGM-NEG_highdim,B-ARGM-NEG_lowdim,B-ARGM-MOD_highdim,ARG1_highdim,ARG1_lowdim,ARG2_highdim,ARG2_lowdim,B-V_lowdim_with_neg,B-V_highdim_with_neg,narrative_highdim,narrative_lowdim
32771,141967293965017088,15147,32771,unemployment number release later week,people,,,,,,job growth,economy,,,not_,not_,unemployment number release later week not_ job growth,people not_ economy
32781,141946031049949184,15151,32781,newly release email,government,prove,try,,,,scientist manipulate data global warm,system,,,not_try,not_prove,newly release email not_prove scientist manipulate data global warm,government not_prove system
32783,141946031049949184,15151,32783,scientist,politician,manipulate,rig,,,,data global warm,system,,,not_rig,not_manipulate,scientist not_manipulate data global warm,politician not_manipulate system
32791,141890330915110912,15155,32791,barackobama,barackobama,campaign,run,,,,dime,vet,,,not_run,not_campaign,barackobama not_campaign dime,barackobama not_campaign vet
32795,141882435527917568,15157,32795,barackobama,barackobama,,,,,,fundraiser,jeb,,,not_,not_,barackobama not_ fundraiser,barackobama not_ jeb
32810,141611015581339648,15165,32810,bank,rating,slow,slow,,,,american growth,american,,,not_slow,not_slow,bank not_slow american growth,rating not_slow american
32815,141604554855825408,15167,32815,barackobama,barackobama,start,start,,,,war iran,iran,,,not_start,not_start,barackobama not_start war iran,barackobama not_start iran
32838,141240945323679745,15176,32838,barackobama,barackobama,support,stand,,,,radical islamist egypt protest,terrorist,,,not_stand,not_support,barackobama not_support radical islamist egypt protest,barackobama not_support terrorist
32839,141240945323679745,15176,32839,barackobama,barackobama,,,,,,high disregard tea party,hoax,,,not_,not_,barackobama not_ high disregard tea party,barackobama not_ hoax
32841,141237893267075073,15177,32841,washington,washington,continue,continue,,,,run record deficit election,interest,,,not_continue,not_continue,washington not_continue run record deficit election,washington not_continue interest
32842,141237893267075073,15177,32842,washington,washington,run,work,,,,record deficit,interest,,,not_work,not_run,washington not_run record deficit,washington not_run interest
32847,141223010689486849,15180,32847,iran,iran,,,,,,oil iraq,iraq,,,not_,not_,iran not_ oil iraq,iran not_ iraq
32848,141223010689486849,15180,32848,iraq,iraq,,,,,,oil,oil,,,not_,not_,iraq not_ oil,iraq not_ oil
32849,141185340726722561,15181,32849,iran,iran,,,,,,nuclear weapon,gun,,,not_,not_,iran not_ nuclear weapon,iran not_ gun
32856,139378215000096768,15185,32856,american sanction,american,stop,start,True,,,iran nuclear drive,iran,,,not_start,stop,american sanction stop iran nuclear drive,american stop iran
32858,139378215000096768,15185,32858,china russia,russia,agree,agree,,,,new iranian sanction,kurd,,,not_agree,not_agree,china russia not_agree new iranian sanction,russia not_agree kurd
32860,139358811109597186,15186,32860,financial disclosure,whistleblower,detail,detail,,,,net worth,million,,,not_detail,not_detail,financial disclosure not_detail net worth,whistleblower not_detail million
32865,139089731710488576,15189,32865,super committee,winner,agree,disagree,True,,,cut outlay,federal reserve,,,not_disagree,agree,super committee agree cut outlay,winner agree federal reserve
32866,139089731710488576,15189,32866,super committee,winner,cut,cut,,,,outlay,federal reserve,,,not_cut,not_cut,super committee not_cut outlay,winner not_cut federal reserve
32867,139073840625102849,15190,32867,habitual vacationer barackobama,barackobama,spent,spent,,,,day critical super committee deadline travel,deal,,,not_spent,not_spent,habitual vacationer barackobama not_spent day critical super committee deadline travel,barackobama not_spent deal
32874,139027652873953281,15194,32874,barackobama,barackobama,spent,spent,,,,day,day,,,not_spent,not_spent,barackobama not_spent day,barackobama not_spent day
32883,139009843439734784,15199,32883,barackobama,barackobama,,,,,,leadership th,leader,,,not_,not_,barackobama not_ leadership th,barackobama not_ leader
32891,138724346825949184,15204,32891,house,house,pas,pas,,,,balance budget amendment,economy,,,not_pas,not_pas,house not_pas balance budget amendment,house not_pas economy
32896,138706696636858369,15206,32896,barackobama,barackobama,,,,,,exactly want automatic cut defense spending,gun,,,not_,not_,barackobama not_ exactly want automatic cut defense spending,barackobama not_ gun
32903,138622911417286656,15209,32903,super committee,winner,find,happen,,,,way raise tax admit,help,,,not_happen,not_find,super committee not_find way raise tax admit,winner not_find help
32906,138622911417286656,15210,32906,republican,republican,,,,,,big mistake agree deal,right,,,not_,not_,republican not_ big mistake agree deal,republican not_ right
32907,138622911417286656,15210,32907,republican,republican,agree,agree,,,,deal,deal,,,not_agree,not_agree,republican not_agree deal,republican not_agree deal
32909,137640805908234240,15211,32909,country,country,face,look,,,,great threat,great,,,not_look,not_face,country not_face great threat,country not_face great
32914,137629814998835200,15213,32914,barackobama,barackobama,delay,stay,,,,sale aircraft taiwan,world,,,not_stay,not_delay,barackobama not_delay sale aircraft taiwan,barackobama not_delay world
32930,137271646301065216,15219,32930,china,china,complain,complain,,,,marine place australia,world,,,not_complain,not_complain,china not_complain marine place australia,china not_complain world
32937,137241487036522497,15223,32937,federal deficit,interest,cross,cover,,,,trillion gdp,interest,,,not_cover,not_cross,federal deficit not_cross trillion gdp,interest not_cross interest
32938,137241487036522497,15224,32938,super committee,winner,find,lose,True,,,trillion,million,,,not_lose,find,super committee find trillion,winner find million
32942,137225620873687041,15226,32942,barackobama,barackobama,delayed,stay,,,,keystone pipeline,oil,,,not_stay,not_delayed,barackobama not_delayed keystone pipeline,barackobama not_delayed oil
32948,137216225477529601,15228,32948,federal government,federal government,increase,increase,,,,employment,economy,,,not_increase,not_increase,federal government not_increase employment,federal government not_increase economy
32972,136555844597841921,15239,32972,waterboarding ksm,omarosa,,,,,,intelligence lead bin laden,terrorist,,,not_,not_,waterboarding ksm not_ intelligence lead bin laden,omarosa not_ terrorist
32981,136525074776858624,15245,32981,republican,republican,,,,,,crucial mistake agree debt deal,important,,,not_,not_,republican not_ crucial mistake agree debt deal,republican not_ important
32982,136525074776858624,15245,32982,republican,republican,agree,agree,,,,debt deal,rating,,,not_agree,not_agree,republican not_agree debt deal,republican not_agree rating
32997,136200595748028417,15253,32997,canada,canada,look,look,,,,export oil china,china,,,not_look,not_look,canada not_look export oil china,canada not_look china
32998,136200595748028417,15253,32998,canada,canada,export,export,,,,oil,oil,china,china,not_export,not_export,canada not_export oil,canada not_export oil
33000,136199906913288193,15254,33000,american,american,afford,open,,,,buy food,medium,,,not_open,not_afford,american not_afford buy food,american not_afford medium
33018,135093758306955264,15260,33018,pipeline,oil,low,low,,,,oil price,oil,,,not_low,not_low,pipeline not_low oil price,oil not_low oil
33019,135093758306955264,15260,33019,pipeline,oil,create,create,,,,job,people,,,not_create,not_create,pipeline not_create job,oil not_create people
33020,135090433889021953,15261,33020,october,november,,,,,,foreclosure increase,rating,,,not_,not_,october not_ foreclosure increase,november not_ rating
33041,134728006362071040,15274,33041,solyndra government loan subsequent bankruptcy,disaster,prove,try,,,,barackobama corrupt inept,barackobama,,,not_try,not_prove,solyndra government loan subsequent bankruptcy not_prove barackobama corrupt inept,disaster not_prove barackobama
33044,134720505268801537,15275,33044,fed,fed,bail,bail,True,True,,eu,world,,,bail,bail,fed bail eu,fed bail world
33047,134010915560488960,15277,33047,runaway spending inadequate tax,corrupt,cause,cause,,,,deficit,interest,,,not_cause,not_cause,runaway spending inadequate tax not_cause deficit,corrupt not_cause interest
33067,132478862536880128,15289,33067,malfeasance fannie mae freddie mac,rating,help,help,,,,cause current financial meltdown,disaster,,,not_help,not_help,malfeasance fannie mae freddie mac not_help cause current financial meltdown,rating not_help disaster
33069,131807138262679553,15291,33069,oil company,oil,,,,,,oil artificially overvalue,amaze,,,not_,not_,oil company not_ oil artificially overvalue,oil not_ amaze
33083,131742478658318336,15298,33083,barackobama,barackobama,let,let,,,,taliban know troop leave,terrorist,,,not_let,not_let,barackobama not_let taliban know troop leave,barackobama not_let terrorist
33084,131742478658318336,15298,33084,taliban,terrorist,know,know,,,,troop leave,dead,,,not_know,not_know,taliban not_know troop leave,terrorist not_know dead
33091,131735240115896320,15301,33091,washington,washington,,,,,,spending problem revenue problem,tax,,,not_,not_,washington not_ spending problem revenue problem,washington not_ tax
33093,131719511882739712,15302,33093,doe,vet,,,,,,money,money,,,not_,not_,doe not_ money,vet not_ money
33094,131719511882739712,15302,33094,company doe money,vet,file,charge,,,,bankruptcy,rating,,,not_charge,not_file,company doe money not_file bankruptcy,vet not_file rating
33104,131471866710855680,15306,33104,republican,republican,agree,disagree,True,,,past summer debt deal,day,,,not_disagree,agree,republican agree past summer debt deal,republican agree day
33108,131462912907812864,15308,33108,chinese military,chinese,hack,cut,,,,satellite,system,,,not_cut,not_hack,chinese military not_hack satellite,chinese not_hack system
33121,129985517017247745,15317,33121,barackobama,barackobama,propose,offer,,,,billion new regulation,law,,,not_offer,not_propose,barackobama not_propose billion new regulation,barackobama not_propose law
33122,129964472470212608,15318,33122,obamacare,obamacare,contains,stop,,,,marriage penalty tax,family,,,not_stop,not_contains,obamacare not_contains marriage penalty tax,obamacare not_contains family
33126,129964472470212608,15319,33126,married couple,family,,,,,,healthcare,healthcare,,,not_,not_,married couple not_ healthcare,family not_ healthcare
33129,129642904057692160,15322,33129,air force,plane,won,win,,,,war libya,kurd,,,not_win,not_won,air force not_won war libya,plane not_won kurd
33130,129642904057692160,15322,33130,air force,plane,clear,pass,,,,way islamic extremist control libya,terrorist,,,not_pass,not_clear,air force not_clear way islamic extremist control libya,plane not_clear terrorist
33155,129283360571916288,15336,33155,china,china,manipulate,rig,,,,currency,million,,,not_rig,not_manipulate,china not_manipulate currency,china not_manipulate million
33156,129283360571916288,15336,33156,china,china,steal,steal,,,,job,people,,,not_steal,not_steal,china not_steal job,china not_steal people
33158,129283360571916288,15337,33158,washington,washington,,,,,,legislation,law,,,not_,not_,washington not_ legislation,washington not_ law
33161,129275105418293248,15338,33161,majority gop candidate,gop,agree,agree,,,,tax code simplify rate drop,classify information,,,not_agree,not_agree,majority gop candidate not_agree tax code simplify rate drop,gop not_agree classify information
33173,129231564067442688,15343,33173,lawrence,james comey,,,,,,false statement,correct,,,not_,not_,lawrence not_ false statement,james comey not_ correct
33182,128930895536197632,15346,33182,candidate,campaign,roll,cast,,,,barackobama damage,barackobama,,,not_cast,not_roll,candidate not_roll barackobama damage,campaign not_roll barackobama
33192,128908232956723201,15349,33192,federal government,federal government,send,send,,,,foreign aid,money,china,china,not_send,not_send,federal government not_send foreign aid,federal government not_send money
33195,128908232956723201,15351,33195,washington,washington,financing,finance,,,,america de,america,,,not_finance,not_financing,washington not_financing america de,washington not_financing america
33216,128572090658992128,15362,33216,libya,kurd,adopt,follow,,,,radical form sharia law new leadership,sanction,,,not_follow,not_adopt,libya not_adopt radical form sharia law new leadership,kurd not_adopt sanction
33240,127462951014776832,15372,33240,china,china,steal,steal,,,,national security corporate secret,rating,,,not_steal,not_steal,china not_steal national security corporate secret,china not_steal rating
33244,127446849857658880,15375,33244,barackobama,barackobama,liberate,release,,,,libya,kurd,,,not_release,not_liberate,barackobama not_liberate libya,barackobama not_liberate kurd
33248,127401893424144385,15377,33248,simplify tax code,classify information,help,help,,,,promote growth private sector,business,,,not_help,not_help,simplify tax code not_help promote growth private sector,classify information not_help business
33249,127401893424144385,15377,33249,simplify tax code,classify information,promote,raise,,,,growth private sector,business,,,not_raise,not_promote,simplify tax code not_promote growth private sector,classify information not_promote business
33262,127374525338877952,15383,33262,america,america,need,want,,,,new leader,leader,,,not_want,not_need,america not_need new leader,america not_need leader
33265,127100723723902976,15385,33265,ows protester,omarosa,,,,,,advance interest,day,,,not_,not_,ows protester not_ advance interest,omarosa not_ day
33266,127100723723902976,15385,33266,ows protester,omarosa,advance,win,,,,interest,interest,,,not_win,not_advance,ows protester not_advance interest,omarosa not_advance interest
33270,127062332454088704,15388,33270,america,america,need,want,,,,rebuild infrastructure,business,,,not_want,not_need,america not_need rebuild infrastructure,america not_need business
33271,127062332454088704,15388,33271,america,america,rebuild,rebuild,,,,infrastructure,business,,,not_rebuild,not_rebuild,america not_rebuild infrastructure,america not_rebuild business
33282,126703082137591808,15392,33282,barackobama china,barackobama,embrace,cover,,,,ows,omarosa,,,not_cover,not_embrace,barackobama china not_embrace ows,barackobama not_embrace omarosa
33287,126676204962054144,15396,33287,foxnews interview night hannityshow,foxnews,discuss,discuss,,,,ows barackobama incompetent leadership,barackobama,,,not_discuss,not_discuss,foxnews interview night hannityshow not_discuss ows barackobama incompetent leadership,foxnews not_discuss barackobama
33301,126359904750551041,15401,33301,china,china,support,stand,,,,ows protest,omarosa,,,not_stand,not_support,china not_support ows protest,china not_support omarosa
33310,126315026532405248,15407,33310,iran,iran,planning,plan,,,,attack israeli saudi dc embassy,dc,,,not_plan,not_planning,iran not_planning attack israeli saudi dc embassy,iran not_planning dc
33311,126315026532405248,15407,33311,iran,iran,attack,attack,,,,israeli saudi dc embassy,dc,,,not_attack,not_attack,iran not_attack israeli saudi dc embassy,iran not_attack dc
33320,126281499837349889,15412,33320,iran,iran,face,look,,,,consequence,disaster,,,not_look,not_face,iran not_face consequence,iran not_face disaster
33322,126037818584727552,15414,33322,barackobama,barackobama,announce,announce,,,,budget deficit trillion second large history,interest,,,not_announce,not_announce,barackobama not_announce budget deficit trillion second large history,barackobama not_announce interest
33331,111807094528811008,15419,33331,barackobama,barackobama,miss,lose,,,,opportunity,right,,,not_lose,not_miss,barackobama not_miss opportunity,barackobama not_miss right
33353,123842963490095104,15431,33353,barackobama,barackobama,release,release,,,,actual budget,word,,,not_release,not_release,barackobama not_release actual budget,barackobama not_release word
33359,123816136189030400,15433,33359,prez,comey,want,want,,,,create job,business,,,not_want,not_want,prez not_want create job,comey not_want business
33360,123816136189030400,15433,33360,prez,comey,create,create,,,,job,people,,,not_create,not_create,prez not_create job,comey not_create people
33368,123783204887998464,15435,33368,fed reckless monetary policy,fed,create,create,,,,record inflation,interest,,,not_create,not_create,fed reckless monetary policy not_create record inflation,fed not_create interest
33369,123767488335978497,15436,33369,new study,school,,,,,,congress business experience,congress,,,not_,not_,new study not_ congress business experience,school not_ congress
33370,123767488335978497,15436,33370,congress,congress,,,,,,business experience,right,,,not_,not_,congress not_ business experience,congress not_ right
33411,121290932573323264,15456,33411,democrat super committee,democrat,want,want,,,,raise tax deficit talk,interest,,,not_want,not_want,democrat super committee not_want raise tax deficit talk,democrat not_want interest
33412,121290932573323264,15456,33412,democrat super committee,democrat,raise,fire,,,,tax,tax,,,not_fire,not_raise,democrat super committee not_raise tax,democrat not_raise tax
33416,121282048601231360,15459,33416,document,letter,prove,try,,,,administration directly involve sellin,administration,,,not_try,not_prove,document not_prove administration directly involve sellin,letter not_prove administration
33427,120950305356644352,15466,33427,italy,world,recognize,know,,,,innocence amandaknox great news,great,,,not_know,not_recognize,italy not_recognize innocence amandaknox great news,world not_recognize great
33452,119854431033491456,15479,33452,world,world,,,,,,job,people,,,not_,not_,world not_ job,world not_ people
33456,119825826719084544,15481,33456,barackobama,barackobama,continue,continue,,,,waste solar company,global warm,,,not_continue,not_continue,barackobama not_continue waste solar company,barackobama not_continue global warm
33457,119825826719084544,15481,33457,barackobama,barackobama,waste,waste,,,,billion dollar,million,,,not_waste,not_waste,barackobama not_waste billion dollar,barackobama not_waste million
33467,111510330139615232,15485,33467,america,america,need,want,,,,tough negotiator community organizer,politician,,,not_want,not_need,america not_need tough negotiator community organizer,america not_need politician
33479,119508669535760384,15490,33479,simplify tax code,classify information,help,help,,,,create job,business,,,not_help,not_help,simplify tax code not_help create job,classify information not_help business
33480,119508669535760384,15490,33480,simplify tax code,classify information,create,create,,,,job,people,,,not_create,not_create,simplify tax code not_create job,classify information not_create people
33489,119499484790128640,15494,33489,iranian,kurd,threaten,threaten,,,,send warship coast,plane,,,not_threaten,not_threaten,iranian not_threaten send warship coast,kurd not_threaten plane
33490,119499484790128640,15494,33490,iranian,kurd,send,send,,,,warship,plane,,,not_send,not_send,iranian not_send warship,kurd not_send plane
33494,119492658963025920,15497,33494,fed,fed,flood,flood,,,,market,million,dollar,million,not_flood,not_flood,fed not_flood market,fed not_flood million
33495,119492658963025920,15497,33495,fed reckless policy low interest flood market dollar,fed,need,want,,,,stop,help,,,not_want,not_need,fed reckless policy low interest flood market dollar not_need stop,fed not_need help
33507,119480304443465728,15500,33507,foxnews interview yesterday,foxnews,discuss,discuss,,,,recent meeting trump tower govchristie,trump tower,,,not_discuss,not_discuss,foxnews interview yesterday not_discuss recent meeting trump tower govchristie,foxnews not_discuss trump tower
33522,119126402116227072,15507,33522,barackobama,barackobama,present,deliver,,,,actual budget,word,,,not_deliver,not_present,barackobama not_present actual budget,barackobama not_present word
33525,119116243537113088,15509,33525,china,china,steal,steal,,,,job,people,,,not_steal,not_steal,china not_steal job,china not_steal people
33528,119116243537113088,15510,33528,china,china,stop,stop,,,,manipulate currency,classify information,,,not_stop,not_stop,china not_stop manipulate currency,china not_stop classify information
33529,119116243537113088,15510,33529,china,china,manipulate,rig,,,,currency,million,,,not_rig,not_manipulate,china not_manipulate currency,china not_manipulate million
33530,119116243537113088,15510,33530,china,china,end,stop,,,,rampant corporate espionage,collusion,,,not_stop,not_end,china not_end rampant corporate espionage,china not_end collusion
33536,119105068820725760,15514,33536,recent report ubs,rating,,,,,,number reason employer hire,tax,,,not_,not_,recent report ubs not_ number reason employer hire,rating not_ tax
33544,118777879365554176,15517,33544,opec,oil,continue,continue,,,,rip,hand,,,not_continue,not_continue,opec not_continue rip,oil not_continue hand
33551,118769976114020352,15521,33551,barackobama,barackobama,,,,,,tax dollar buy gun mexican drug lord use kill american,american,,,not_,not_,barackobama not_ tax dollar buy gun mexican drug lord use kill american,barackobama not_ american
33552,118769976114020352,15521,33552,tax dollar,million,buy,buy,,,,gun,gun,,,not_buy,not_buy,tax dollar not_buy gun,million not_buy gun
33561,118723555725811712,15525,33561,foxnews interview night gretawire,foxnews,discuss,discuss,,,,yesterday meeting mittromney,mittromney,,,not_discuss,not_discuss,foxnews interview night gretawire not_discuss yesterday meeting mittromney,foxnews not_discuss mittromney
33569,118332495900061696,15531,33569,tax increase,interest,solve,solve,True,True,,country debt crisis,country,,,solve,solve,tax increase solve country debt crisis,interest solve country
33582,117256241444683777,15539,33582,barackobama,barackobama,bankrupting,break,,,,country,country,,,not_break,not_bankrupting,barackobama not_bankrupting country,barackobama not_bankrupting country
33590,116934381783887872,15544,33590,enemy,dead,look,look,,,,weakness,economy,,,not_look,not_look,enemy not_look weakness,dead not_look economy
33602,116593861626839040,15550,33602,job plan,money,look,look,,,,like tax increase plan,tax,,,not_look,not_look,job plan not_look like tax increase plan,money not_look tax
33604,116579360089190400,15551,33604,terrific people,fantastic,love,know,,,,america,america,,,not_know,not_love,terrific people not_love america,fantastic not_love america
33610,116527761002201089,15553,33610,president,president,stop,stop,,,,china rip america,america,,,not_stop,not_stop,president not_stop china rip america,president not_stop america
33620,116232680424747008,15557,33620,obamacare,obamacare,destroy,destroy,,,,small business backbone america economy,america,,,not_destroy,not_destroy,obamacare not_destroy small business backbone america economy,obamacare not_destroy america
33631,115868091682000896,15561,33631,barackobama,barackobama,find,lose,True,,,reason speech tax,right,,,not_lose,find,barackobama find reason speech tax,barackobama find right
33634,115838656694075393,15562,33634,raise tax,tax,create,create,,,,job,people,,,not_create,not_create,raise tax not_create job,tax not_create people
33643,114811039996063744,15567,33643,china,china,,,,,,tenth natural resource,winner,,,not_,not_,china not_ tenth natural resource,china not_ winner
33660,114723537150935041,15577,33660,netanyahu,president,announce,announce,,,,un defend israel,israel,,,not_announce,not_announce,netanyahu not_announce un defend israel,president not_announce israel
33671,114394904293150720,15580,33671,barackobama,barackobama,pass,happen,,,,cap trade,mini mike,,,not_happen,not_pass,barackobama not_pass cap trade,barackobama not_pass mini mike
33682,114038861750996992,15588,33682,job bill,law,contains,stop,,,,word tax,word,,,not_stop,not_contains,job bill not_contains word tax,law not_contains word
33697,113685876118261760,15593,33697,ny,ad,send,send,,,,message,letter,,,not_send,not_send,ny not_send message,ad not_send letter
33702,113667489342291968,15594,33702,tax loophole,sanction,favor,prefer,,,,foreign investment,rating,,,not_prefer,not_favor,tax loophole not_favor foreign investment,sanction not_favor rating
33703,113667489342291968,15594,33703,tax loophole,sanction,,,,,,job,people,overseas,money,not_,not_,tax loophole not_ job,sanction not_ people
33709,113629109137047552,15599,33709,white house,house,continue,continue,,,,openly uncooperative fast furious investigation,corrupt,,,not_continue,not_continue,white house not_continue openly uncooperative fast furious investigation,house not_continue corrupt
33719,113607971824615424,15604,33719,barackobama,barackobama,,,,,,threaten private sector tax,business,,,not_,not_,barackobama not_ threaten private sector tax,barackobama not_ business
33720,113607971824615424,15604,33720,barackobama,barackobama,threaten,threaten,,,,private sector,business,tax,tax,not_threaten,not_threaten,barackobama not_threaten private sector,barackobama not_threaten business
33725,113423435673251840,15606,33725,friend brooklyn,baltimore,vote,vote,,,,bob turner,john,,,not_vote,not_vote,friend brooklyn not_vote bob turner,baltimore not_vote john
33726,113423435673251840,15606,33726,friend brooklyn,baltimore,send,send,,,,message,letter,barackobama,barackobama,not_send,not_send,friend brooklyn not_send message,baltimore not_send letter
33728,113422578667892736,15607,33728,barackobama,barackobama,know,know,,,,nt approve mistreatment israel,israel,,,not_know,not_know,barackobama not_know nt approve mistreatment israel,barackobama not_know israel
33736,113385484822134784,15609,33736,washington,washington,threaten,threaten,,,,high tax regulation,law,,,not_threaten,not_threaten,washington not_threaten high tax regulation,washington not_threaten law
33752,112244047195803648,15620,33752,company,company,create,create,,,,job,people,,,not_create,not_create,company not_create job,company not_create people
33759,111873013439397888,15624,33759,un,president,attack,attack,,,,israel sovereignty,israel,,,not_attack,not_attack,un not_attack israel sovereignty,president not_attack israel
33760,111873013439397888,15624,33760,un,president,ignore,cut,,,,iran nuclear program,iran,,,not_cut,not_ignore,un not_ignore iran nuclear program,president not_ignore iran
33764,111852221376888832,15626,33764,china,china,learn,watch,,,,barackobama plan borrow billion,barackobama,,,not_watch,not_learn,china not_learn barackobama plan borrow billion,china not_learn barackobama
33765,111852221376888832,15626,33765,barackobama,barackobama,plan,plan,,,,borrow billion,rating,,,not_plan,not_plan,barackobama not_plan borrow billion,barackobama not_plan rating
33766,111852221376888832,15626,33766,barackobama,barackobama,borrow,borrow,,,,billion,million,,,not_borrow,not_borrow,barackobama not_borrow billion,barackobama not_borrow million
33769,111831411262099458,15628,33769,speech,president,create,create,,,,job,people,,,not_create,not_create,speech not_create job,president not_create people
33776,111429608502607873,15630,33776,usa,usa,,,,,,oil,oil,iraq,iraq,not_,not_,usa not_ oil,usa not_ oil
33779,111172713015545856,15631,33779,trillion stimulus,federal reserve,create,create,,,,job,people,,,not_create,not_create,trillion stimulus not_create job,federal reserve not_create people
33782,111166172237529088,15632,33782,un,president,use,use,,,,assembly,second amendment,attack israel,israel,not_use,not_use,un not_use assembly,president not_use second amendment
33783,111166172237529088,15632,33783,un,president,attack,attack,,,,israel,israel,,,not_attack,not_attack,un not_attack israel,president not_attack israel
33789,111153895719444480,15635,33789,speech,president,create,create,,,,job,people,,,not_create,not_create,speech not_create job,president not_create people
33799,109693836657295361,15640,33799,mexican drug lord,president xi,kill,kill,,,,american,american,,,not_kill,not_kill,mexican drug lord not_kill american,president xi not_kill american
33801,109693836657295361,15640,33801,barackobama,barackobama,answer,serve,,,,question,question,,,not_serve,not_answer,barackobama not_answer question,barackobama not_answer question
33803,109671130721300480,15641,33803,white house,house,predict,promise,,,,unemployment,interest,,,not_promise,not_predict,white house not_predict unemployment,house not_predict interest
33804,109671130721300480,15641,33804,obama care,obama,,,,,,effect,problem,,,not_,not_,obama care not_ effect,obama not_ problem
33805,109671130721300480,15641,33805,white house,house,expect,look,,,,high,people,,,not_look,not_expect,white house not_expect high,house not_expect people
33817,109274621198610433,15645,33817,un,president,grant,allow,,,,statehood,second amendment,pa,ad,not_allow,not_grant,un not_grant statehood,president not_grant second amendment
33822,108962732816072704,15646,33822,barackobama,barackobama,seek,try,,,,epa raise energy price,oil,,,not_try,not_seek,barackobama not_seek epa raise energy price,barackobama not_seek oil
33823,108962732816072704,15646,33823,barackobama,barackobama,,,,,,epa raise energy price,oil,,,not_,not_,barackobama not_ epa raise energy price,barackobama not_ oil
33824,108962732816072704,15646,33824,epa,sanction,raise,fire,,,,energy price,oil,,,not_fire,not_raise,epa not_raise energy price,sanction not_raise oil
33827,108933866936475648,15647,33827,islamic radical,terrorist,,,,,,libya,kurd,,,not_,not_,islamic radical not_ libya,terrorist not_ kurd
33833,108615001102761984,15651,33833,new libyan government,kurd,turn,work,,,,lockerbie bomber,plane,,,not_work,not_turn,new libyan government not_turn lockerbie bomber,kurd not_turn plane
33839,108570669423394816,15653,33839,un,president,grant,allow,,,,statehood,second amendment,palestinian,kurd,not_allow,not_grant,un not_grant statehood,president not_grant second amendment
33842,108570669423394816,15654,33842,action,problem,,,,,,consequence,disaster,,,not_,not_,action not_ consequence,problem not_ disaster
33843,108306883194011648,15655,33843,palestinian,kurd,want,want,,,,statehood,second amendment,,,not_want,not_want,palestinian not_want statehood,kurd not_want second amendment
33856,107164909812453376,15659,33856,libyan rebel,kurd,,,,,,oil,oil,,,not_,not_,libyan rebel not_ oil,kurd not_ oil
33872,106800317403897857,15666,33872,america,america,need,want,,,,president negotiate deal american people,american,,,not_want,not_need,america not_need president negotiate deal american people,america not_need american
33907,106032417000800257,15679,33907,europe,world,,,,,,oil,oil,,,not_,not_,europe not_ oil,world not_ oil
33909,106011126889852928,15680,33909,idea,right,deserve,deserve,,,,consideration,careful,,,not_deserve,not_deserve,idea not_deserve consideration,right not_deserve careful
33915,105699355494846467,15685,33915,barackobama,barackobama,continue,continue,,,,defend obamacare court,obamacare,,,not_continue,not_continue,barackobama not_continue defend obamacare court,barackobama not_continue obamacare
33916,105699355494846467,15685,33916,barackobama,barackobama,defend,fight,,,,obamacare,obamacare,,,not_fight,not_defend,barackobama not_defend obamacare,barackobama not_defend obamacare
33924,105668901668532224,15689,33924,rocket gaza,kurd,barrage,barrage,,,,israel,israel,,,not_barrage,not_barrage,rocket gaza not_barrage israel,kurd not_barrage israel
33935,104624327122616322,15695,33935,new job plan,money,,,,,,follow,help,,,not_,not_,new job plan not_ follow,money not_ help
33948,104251305844944897,15701,33948,people,people,ask,need,,,,plane,plane,,,not_need,not_ask,people not_ask plane,people not_ask plane
33949,104251305844944897,15701,33949,people,people,,,,,,plane,plane,,,not_,not_,people not_ plane,people not_ plane
33952,104236416615190528,15702,33952,karl rove lose gop house congress white house,gop,,,,,,obama,obama,,,not_,not_,karl rove lose gop house congress white house not_ obama,gop not_ obama
33965,103521940848914432,15709,33965,trump,trump,tell,tell,,,,buying stock market way,million,cnbc,tv,not_tell,not_tell,trump not_tell buying stock market way,trump not_tell million
33971,103217810599182336,15710,33971,country,country,waste,waste,,,,money,money,,,not_waste,not_waste,country not_waste money,country not_waste money
33980,103174427906277376,15717,33980,unemployment,interest,plague,harass,,,,black hispanic youth,leader,,,not_harass,not_plague,unemployment not_plague black hispanic youth,interest not_plague leader
33986,103131233285976064,15723,33986,reporter,press,,,,,,trump bump tell cnbc buying stock market,trump,,,not_,not_,reporter not_ trump bump tell cnbc buying stock market,press not_ trump
33994,102429248396075009,15725,33994,mike huckebee great guy,great,,,,,,president appoint treasury secretary,rating,,,not_,not_,mike huckebee great guy not_ president appoint treasury secretary,great not_ rating
34002,102079394448814080,15728,34002,obama,obama,,,,,,understand create job opportunity,right,,,not_,not_,obama not_ understand create job opportunity,obama not_ right
34016,101373840323645440,15736,34016,fed,fed,continue,continue,,,,flood market dollar,hurricane,,,not_continue,not_continue,fed not_continue flood market dollar,fed not_continue hurricane
34017,101373840323645440,15736,34017,fed,fed,flood,flood,,,,market,million,dollar,million,not_flood,not_flood,fed not_flood market,fed not_flood million
34022,101358470187589632,15739,34022,opec,oil,continue,continue,,,,rip,hand,,,not_continue,not_continue,opec not_continue rip,oil not_continue hand
